index,Time (s),HR (BPM),RESP (BPM),SpO2 (%),TEMP (*C),OUTPUT
107,107,92,23,97,40,Abnormal
108,108,92,23,97,40,Abnormal
109,109,92,23,97,30,Normal
110,110,92,23,97,30,Normal
111,111,92,23,,29,Normal
112,112,92,23,,29,Normal
113,113,92,23,,40,Abnormal
114,114,92,22,,40,Abnormal
115,115,92,22,,29,Normal
116,116,92,22,,29,Normal
117,117,92,22,,29,Normal
118,118,92,22,,29,Normal
119,119,92,22,,40,Abnormal
120,120,92,22,,40,Abnormal
121,121,92,22,,29,Normal
122,122,92,22,,29,Normal
123,123,92,22,,40,Abnormal
124,124,92,22,98,40,Abnormal
125,125,92,21,98,29,Normal
126,126,92,21,98,41,Abnormal
127,127,91,21,97,29,Normal
128,128,91,21,97,41,Abnormal
129,129,91,21,97,29,Normal
130,130,91,21,97,29,Normal
131,131,91,21,97,29,Normal
132,132,91,21,97,29,Normal
133,133,91,21,97,29,Normal
134,134,91,21,97,40,Abnormal
135,135,91,21,97,29,Normal
136,136,91,21,97,40,Abnormal
137,137,91,21,97,29,Normal
138,138,91,21,97,29,Normal
139,139,91,21,97,29,Normal
140,140,91,21,97,41,Abnormal
141,141,91,20,97,41,Abnormal
142,142,91,20,97,29,Normal
143,143,91,20,97,29,Normal
144,144,91,20,97,40,Abnormal
145,145,91,20,97,40,Abnormal
146,146,91,20,97,29,Normal
147,147,91,20,97,29,Normal
148,148,91,21,97,29,Normal
149,149,91,21,97,29,Normal
150,150,91,21,97,29,Normal
151,151,91,21,97,29,Normal
152,152,92,21,97,29,Normal
153,153,92,21,97,29,Normal
154,154,92,21,97,29,Normal
155,155,92,21,97,29,Normal
156,156,92,22,97,39,Abnormal
157,157,92,22,97,29,Normal
158,158,92,22,97,29,Normal
159,159,92,22,97,29,Normal
160,160,92,22,97,29,Normal
161,161,92,22,97,39,Abnormal
162,162,92,22,97,38,Abnormal
163,163,92,22,97,39,Abnormal
164,164,92,22,97,29,Normal
165,165,91,22,97,40,Abnormal
166,166,91,22,97,29,Normal
167,167,91,22,97,29,Normal
168,168,91,21,97,39,Abnormal
169,169,91,21,97,39,Abnormal
170,170,91,21,97,29,Normal
171,171,91,21,97,29,Normal
172,172,91,21,97,29,Normal
173,173,91,21,97,39,Abnormal
174,174,91,21,97,29,Normal
175,175,91,21,97,39,Abnormal
176,176,91,21,97,29,Normal
177,177,91,21,97,39,Abnormal
178,178,91,21,97,29,Normal
179,179,91,21,97,39,Abnormal
180,180,91,21,97,39,Abnormal
181,181,91,21,97,29,Normal
182,182,91,21,97,29,Normal
183,183,91,21,97,29,Normal
184,184,91,21,97,29,Normal
185,185,91,21,97,29,Normal
186,186,91,21,97,29,Normal
187,187,91,21,97,29,Normal
188,188,91,21,97,29,Normal
189,189,91,21,97,39,Abnormal
190,190,91,21,97,39,Abnormal
191,191,91,21,97,29,Normal
192,192,91,21,97,29,Normal
193,193,91,21,97,29,Normal
194,194,91,21,97,29,Normal
195,195,91,21,97,29,Normal
196,196,91,21,97,29,Normal
197,197,91,21,97,29,Normal
198,198,91,21,97,29,Normal
199,199,93,21,97,29,Normal
200,200,92,21,97,29,Normal
201,201,92,21,97,29,Normal
202,202,92,21,97,39,Abnormal
203,203,92,21,97,29,Normal
204,204,92,21,97,29,Normal
205,205,91,21,97,29,Normal
206,206,91,21,97,39,Abnormal
207,207,89,22,97,29,Normal
208,208,90,22,97,29,Normal
209,209,90,22,97,29,Normal
210,210,90,22,97,29,Normal
211,211,90,22,97,38,Abnormal
212,212,90,22,97,39,Abnormal
213,213,91,21,97,29,Normal
214,214,91,21,97,39,Abnormal
215,215,91,21,97,29,Normal
216,216,91,21,97,39,Abnormal
217,217,91,21,97,29,Normal
218,218,91,21,97,38,Abnormal
219,219,91,21,97,39,Abnormal
220,220,91,21,97,29,Normal
221,221,91,21,97,30,Normal
222,222,91,21,97,30,Normal
223,223,91,21,97,29,Normal
224,224,91,21,97,29,Normal
225,225,91,21,97,38,Abnormal
226,226,91,21,97,30,Normal
227,227,91,21,97,29,Normal
228,228,91,21,97,30,Normal
229,229,91,21,97,30,Normal
230,230,91,21,97,29,Normal
231,231,91,21,97,29,Normal
232,232,91,21,97,29,Normal
233,233,91,21,97,38,Abnormal
234,234,91,21,97,38,Abnormal
235,235,91,21,97,29,Normal
236,236,91,21,97,29,Normal
237,237,91,21,97,38,Abnormal
238,238,91,21,97,38,Abnormal
239,239,91,21,97,29,Normal
240,240,91,21,97,29,Normal
241,241,91,21,97,38,Abnormal
242,242,91,21,97,38,Abnormal
243,243,91,21,97,29,Normal
244,244,91,21,97,29,Normal
245,245,91,21,97,29,Normal
246,246,91,21,97,29,Normal
247,247,91,21,97,29,Normal
248,248,91,21,97,29,Normal
249,249,91,21,97,29,Normal
250,250,91,21,97,29,Normal
251,251,91,21,97,38,Abnormal
252,252,91,21,97,29,Normal
253,253,91,21,97,38,Abnormal
254,254,91,21,97,38,Abnormal
255,255,91,21,97,29,Normal
256,256,91,21,97,38,Abnormal
257,257,91,21,97,38,Abnormal
258,258,91,21,97,29,Normal
259,259,91,21,97,38,Abnormal
260,260,91,21,97,29,Normal
261,261,91,21,97,38,Abnormal
262,262,91,21,97,29,Normal
263,263,91,21,97,29,Normal
264,264,91,21,97,29,Normal
265,265,91,21,97,37,Abnormal
266,266,91,20,97,29,Normal
267,267,91,20,97,38,Abnormal
268,268,91,20,97,29,Normal
269,269,91,20,97,29,Normal
270,270,91,20,97,37,Abnormal
271,271,91,20,97,37,Abnormal
272,272,91,20,97,29,Normal
273,273,91,20,97,29,Normal
274,274,91,20,97,29,Normal
275,275,91,20,97,29,Normal
276,276,91,20,97,29,Normal
277,277,91,20,97,29,Normal
278,278,91,20,97,29,Normal
279,279,91,20,97,29,Normal
280,280,91,20,96,29,Normal
281,281,91,20,96,29,Normal
282,282,91,20,96,30,Normal
283,283,91,20,96,30,Normal
284,284,91,20,96,37,Abnormal
285,285,91,20,96,37,Abnormal
286,286,91,21,96,29,Normal
287,287,91,21,96,29,Normal
288,288,91,21,96,37,Abnormal
289,289,91,21,96,37,Abnormal
290,290,91,21,96,29,Normal
291,291,91,21,96,29,Normal
292,292,91,21,97,37,Abnormal
293,293,91,21,97,37,Abnormal
294,294,91,21,97,37,Abnormal
295,295,91,21,97,37,Abnormal
296,296,91,21,97,29,Normal
297,297,91,21,97,29,Normal
298,298,91,21,97,29,Normal
299,299,91,21,96,29,Normal
300,300,91,21,96,36,Abnormal
301,301,91,21,96,36,Abnormal
302,302,91,21,96,29,Normal
303,303,91,21,96,29,Normal
304,304,91,21,96,36,Abnormal
305,305,91,21,97,36,Abnormal
306,306,92,21,97,29,Normal
307,307,92,21,97,29,Normal
308,308,91,21,97,37,Abnormal
309,309,91,21,97,37,Abnormal
310,310,91,21,97,37,Abnormal
311,311,91,21,97,37,Abnormal
312,312,91,21,97,29,Normal
313,313,91,21,97,29,Normal
314,314,91,21,97,29,Normal
315,315,90,21,97,29,Normal
316,316,91,21,97,36,Abnormal
317,317,91,21,97,36,Abnormal
318,318,91,21,97,29,Normal
319,319,91,21,97,29,Normal
320,320,91,21,97,36,Abnormal
321,321,91,21,97,36,Abnormal
322,322,91,21,97,29,Normal
323,323,92,21,97,29,Normal
324,324,92,21,96,30,Normal
325,325,92,21,96,30,Normal
326,326,92,20,96,36,Abnormal
327,327,92,20,96,36,Abnormal
328,328,92,20,96,29,Normal
329,329,92,20,96,29,Normal
330,330,91,20,96,36,Abnormal
331,331,92,20,96,36,Abnormal
332,332,91,20,96,29,Normal
333,333,91,20,96,29,Normal
334,334,91,20,97,30,Normal
335,335,91,20,97,30,Normal
336,336,91,20,97,36,Abnormal
337,337,91,21,97,36,Abnormal
338,338,91,21,97,29,Normal
339,339,91,21,97,29,Normal
340,340,92,21,97,29,Normal
341,341,92,21,97,29,Normal
342,342,92,21,97,36,Abnormal
343,343,92,21,97,36,Abnormal
344,344,91,21,97,29,Normal
345,345,91,21,97,29,Normal
346,346,91,21,97,30,Normal
347,347,91,21,97,30,Normal
348,348,91,21,97,29,Normal
349,349,91,21,97,29,Normal
350,350,91,21,97,35,Abnormal
351,351,91,21,97,35,Abnormal
352,352,91,21,97,29,Normal
353,353,91,21,97,29,Normal
354,354,91,20,97,29,Normal
355,355,91,20,97,29,Normal
356,356,91,20,96,29,Normal
357,357,91,20,96,29,Normal
358,358,92,20,96,36,Abnormal
359,359,92,20,96,36,Abnormal
360,360,92,20,96,36,Abnormal
361,361,92,20,96,36,Abnormal
362,362,92,20,96,29,Normal
363,363,92,20,96,29,Normal
364,364,92,20,96,29,Normal
365,365,91,20,96,29,Normal
366,366,91,20,96,36,Abnormal
367,367,91,20,96,36,Abnormal
368,368,91,20,96,29,Normal
369,369,91,20,97,29,Normal
370,370,91,20,97,36,Abnormal
371,371,91,20,97,36,Abnormal
372,372,91,20,97,29,Normal
373,373,91,20,97,29,Normal
374,374,91,20,97,35,Abnormal
375,375,91,20,97,35,Abnormal
376,376,91,21,97,29,Normal
377,377,91,21,97,29,Normal
378,378,91,21,97,36,Abnormal
379,379,91,21,97,36,Abnormal
380,380,91,21,97,29,Normal
381,381,91,21,97,29,Normal
382,382,91,21,97,29,Normal
383,383,91,21,97,29,Normal
384,384,91,21,97,36,Abnormal
385,385,91,21,97,36,Abnormal
386,386,91,21,97,29,Normal
387,387,91,21,97,29,Normal
388,388,91,21,97,36,Abnormal
389,389,91,21,97,36,Abnormal
390,390,90,21,97,29,Normal
391,391,90,21,97,29,Normal
392,392,90,21,97,35,Abnormal
393,393,90,21,97,35,Abnormal
394,394,90,21,97,29,Normal
395,395,90,21,97,29,Normal
396,396,90,21,97,35,Abnormal
397,397,89,21,97,35,Abnormal
398,398,90,21,97,35,Abnormal
399,399,90,21,97,35,Abnormal
400,400,89,21,97,29,Normal
401,401,90,21,97,29,Normal
402,402,90,21,97,35,Abnormal
403,403,90,21,97,35,Abnormal
404,404,90,21,97,35,Abnormal
405,405,90,21,97,35,Abnormal
406,406,90,21,97,29,Normal
407,407,90,21,97,29,Normal
408,408,90,21,97,36,Abnormal
409,409,90,21,97,36,Abnormal
410,410,91,21,97,29,Normal
411,411,90,21,97,29,Normal
412,412,91,21,97,35,Abnormal
413,413,91,21,97,35,Abnormal
414,414,91,21,97,29,Normal
415,415,91,21,97,29,Normal
416,416,92,21,97,35,Abnormal
417,417,92,21,97,35,Abnormal
418,418,92,21,97,35,Abnormal
419,419,92,21,97,35,Abnormal
420,420,92,21,97,29,Normal
421,421,92,21,97,29,Normal
422,422,92,21,97,35,Abnormal
423,423,92,21,97,35,Abnormal
424,424,88,21,97,35,Abnormal
425,425,91,21,97,35,Abnormal
426,426,91,22,96,29,Normal
427,427,91,22,96,29,Normal
428,428,91,22,96,35,Abnormal
429,429,91,22,96,35,Abnormal
430,430,91,22,97,29,Normal
431,431,91,22,97,29,Normal
432,432,91,22,97,34,Abnormal
433,433,91,22,97,34,Abnormal
434,434,91,22,97,29,Normal
435,435,91,22,97,29,Normal
436,436,90,22,97,35,Abnormal
437,437,90,22,97,35,Abnormal
438,438,90,22,97,29,Normal
439,439,90,22,97,29,Normal
440,440,90,22,97,35,Abnormal
441,441,90,22,97,35,Abnormal
442,442,90,22,97,29,Normal
443,443,90,22,97,29,Normal
444,444,90,22,97,29,Normal
445,445,90,22,97,29,Normal
446,446,90,22,97,35,Abnormal
447,447,90,21,97,35,Abnormal
448,448,90,21,97,29,Normal
449,449,91,21,97,29,Normal
450,450,91,21,97,29,Normal
451,451,91,21,97,29,Normal
452,452,91,21,97,35,Abnormal
453,453,91,21,97,35,Abnormal
454,454,91,21,97,29,Normal
455,455,91,21,97,29,Normal
456,456,91,21,97,29,Normal
457,457,91,21,97,29,Normal
458,458,91,21,97,29,Normal
459,459,91,21,97,29,Normal
460,460,91,21,97,30,Normal
461,461,91,21,97,30,Normal
462,462,91,21,97,35,Abnormal
463,463,91,21,97,35,Abnormal
464,464,91,21,97,30,Normal
465,465,91,21,97,30,Normal
466,466,91,21,97,35,Abnormal
467,467,91,21,97,35,Abnormal
468,468,91,21,97,29,Normal
469,469,91,21,97,29,Normal
470,470,91,21,97,35,Abnormal
471,471,91,21,97,35,Abnormal
472,472,91,21,97,29,Normal
473,473,91,21,97,29,Normal
474,474,90,21,97,36,Abnormal
475,475,90,21,96,36,Abnormal
476,476,90,21,96,29,Normal
477,477,90,21,96,29,Normal
478,478,90,21,96,35,Abnormal
479,479,90,20,96,35,Abnormal
480,480,90,20,96,29,Normal
0,0,93,16,100,29,Normal
1,1,93,16,100,35,Abnormal
2,2,93,16,100,35,Abnormal
3,3,94,16,100,29,Normal
4,4,94,16,100,29,Normal
5,5,94,16,100,29,Normal
6,6,94,16,100,29,Normal
7,7,93,16,100,35,Abnormal
8,8,93,16,100,35,Abnormal
9,9,93,16,100,29,Normal
10,10,92,16,100,29,Normal
11,11,92,16,100,35,Abnormal
12,12,92,16,100,35,Abnormal
13,13,92,16,100,29,Normal
14,14,91,16,100,29,Normal
15,15,91,16,100,35,Abnormal
16,16,91,16,100,35,Abnormal
17,17,91,16,100,29,Normal
18,18,91,16,100,29,Normal
19,19,91,16,100,36,Abnormal
20,20,91,16,100,36,Abnormal
21,21,91,16,100,29,Normal
22,22,91,16,100,29,Normal
23,23,90,16,100,29,Normal
24,24,90,16,100,29,Normal
25,25,90,16,100,30,Normal
26,26,90,16,100,30,Normal
27,27,90,16,100,29,Normal
28,28,90,16,100,29,Normal
29,29,90,16,100,30,Normal
30,30,90,16,100,30,Normal
31,31,90,16,100,29,Normal
32,32,90,16,100,29,Normal
33,33,91,16,100,30,Normal
34,34,91,16,100,30,Normal
35,35,91,16,100,30,Normal
36,36,91,16,100,30,Normal
37,37,91,16,100,29,Normal
38,38,91,16,100,29,Normal
39,39,91,16,100,29,Normal
40,40,92,16,100,29,Normal
41,41,92,16,100,30,Normal
42,42,92,16,100,30,Normal
43,43,92,16,100,36,Abnormal
44,44,92,16,100,36,Abnormal
45,45,92,16,100,29,Normal
46,46,92,16,100,29,Normal
47,47,92,16,100,29,Normal
48,48,91,16,100,29,Normal
49,49,91,16,100,36,Abnormal
50,50,91,16,100,36,Abnormal
51,51,90,16,100,29,Normal
52,52,90,16,100,29,Normal
53,53,90,16,100,29,Normal
54,54,90,16,100,29,Normal
55,55,90,16,100,29,Normal
56,56,90,16,100,29,Normal
57,57,89,16,100,29,Normal
58,58,89,16,100,29,Normal
59,59,89,16,100,29,Normal
60,60,90,16,100,29,Normal
61,61,90,16,100,29,Normal
62,62,90,16,100,29,Normal
63,63,90,16,100,36,Abnormal
64,64,90,16,100,36,Abnormal
65,65,90,16,100,29,Normal
66,66,90,16,100,29,Normal
67,67,90,16,100,29,Normal
68,68,91,16,100,29,Normal
69,69,91,16,100,36,Abnormal
70,70,91,16,100,36,Abnormal
71,71,92,16,100,29,Normal
72,72,92,16,100,29,Normal
73,73,92,16,100,29,Normal
74,74,92,16,100,29,Normal
75,75,92,16,100,36,Abnormal
76,76,93,16,100,36,Abnormal
77,77,93,16,100,29,Normal
78,78,93,16,100,29,Normal
79,79,93,16,100,29,Normal
80,80,93,16,100,29,Normal
81,81,93,16,100,29,Normal
82,82,93,16,100,29,Normal
83,83,93,16,100,29,Normal
84,84,93,16,100,29,Normal
85,85,93,15,100,29,Normal
86,86,92,15,100,29,Normal
87,87,92,15,100,36,Abnormal
88,88,92,15,100,36,Abnormal
89,89,92,15,100,29,Normal
90,90,91,15,100,29,Normal
91,91,91,15,100,36,Abnormal
92,92,91,15,100,36,Abnormal
93,93,91,15,100,29,Normal
94,94,90,15,100,29,Normal
95,95,90,15,100,29,Normal
96,96,90,15,100,29,Normal
97,97,90,15,100,29,Normal
98,98,90,15,100,29,Normal
99,99,90,15,100,29,Normal
100,100,90,15,100,29,Normal
101,101,90,15,100,29,Normal
102,102,90,15,100,29,Normal
103,103,89,15,100,29,Normal
104,104,89,15,100,29,Normal
105,105,89,15,100,36,Abnormal
106,106,89,15,100,36,Abnormal
107,107,89,15,100,29,Normal
108,108,89,15,100,29,Normal
109,109,89,15,100,36,Abnormal
110,110,89,15,100,36,Abnormal
111,111,89,15,100,29,Normal
112,112,89,15,100,29,Normal
113,113,89,15,100,29,Normal
114,114,89,15,100,29,Normal
115,115,90,15,100,29,Normal
116,116,90,15,100,29,Normal
117,117,90,15,100,36,Abnormal
118,118,91,15,100,36,Abnormal
119,119,91,15,100,29,Normal
120,120,91,15,100,29,Normal
121,121,92,15,100,36,Abnormal
122,122,92,15,100,36,Abnormal
123,123,92,15,100,35,Abnormal
124,124,92,15,100,35,Abnormal
125,125,92,15,100,36,Abnormal
126,126,92,15,100,36,Abnormal
127,127,92,15,100,37,Abnormal
128,128,93,15,100,37,Abnormal
129,129,92,15,100,29,Normal
130,130,92,15,100,29,Normal
131,131,92,15,100,29,Normal
132,132,92,15,100,29,Normal
133,133,92,15,100,36,Abnormal
134,134,92,15,100,36,Abnormal
135,135,91,15,100,29,Normal
136,136,91,15,100,29,Normal
137,137,91,15,100,36,Abnormal
138,138,91,15,100,36,Abnormal
139,139,91,15,100,36,Abnormal
140,140,91,15,100,36,Abnormal
141,141,91,15,100,29,Normal
142,142,91,15,100,29,Normal
143,143,91,15,100,36,Abnormal
144,144,91,15,100,36,Abnormal
145,145,91,15,100,35,Abnormal
146,146,91,15,100,35,Abnormal
147,147,91,15,100,29,Normal
148,148,90,16,100,29,Normal
149,149,90,16,100,36,Abnormal
150,150,90,16,100,36,Abnormal
151,151,90,16,100,29,Normal
152,152,90,16,100,29,Normal
153,153,90,16,100,29,Normal
154,154,90,16,100,29,Normal
155,155,90,16,100,36,Abnormal
156,156,90,16,100,36,Abnormal
157,157,90,16,100,29,Normal
158,158,90,16,100,29,Normal
159,159,90,16,100,36,Abnormal
160,160,91,16,100,36,Abnormal
161,161,91,16,100,29,Normal
162,162,91,16,100,29,Normal
163,163,91,16,100,36,Abnormal
164,164,91,16,100,36,Abnormal
165,165,92,16,100,29,Normal
166,166,92,15,100,29,Normal
167,167,92,15,100,36,Abnormal
168,168,92,15,100,36,Abnormal
169,169,92,15,100,29,Normal
170,170,92,15,100,29,Normal
171,171,92,15,100,29,Normal
172,172,92,15,100,29,Normal
173,173,92,15,100,29,Normal
174,174,92,15,100,29,Normal
175,175,92,15,100,29,Normal
176,176,92,15,100,29,Normal
177,177,92,15,100,37,Abnormal
178,178,92,15,100,37,Abnormal
179,179,91,15,100,29,Normal
180,180,91,15,100,29,Normal
181,181,91,14,100,29,Normal
182,182,91,14,100,29,Normal
183,183,90,14,100,36,Abnormal
184,184,90,14,100,36,Abnormal
185,185,90,14,100,29,Normal
186,186,90,14,100,29,Normal
187,187,90,14,100,29,Normal
188,188,90,14,100,29,Normal
189,189,90,14,100,29,Normal
190,190,90,14,100,29,Normal
191,191,90,14,100,29,Normal
192,192,90,14,100,29,Normal
193,193,90,14,100,36,Abnormal
194,194,90,14,100,36,Abnormal
195,195,90,14,100,29,Normal
196,196,90,14,100,29,Normal
197,197,90,14,100,37,Abnormal
198,198,90,15,100,37,Abnormal
199,199,90,15,100,29,Normal
200,200,90,15,100,29,Normal
201,201,90,15,100,29,Normal
202,202,90,15,100,29,Normal
203,203,91,15,100,29,Normal
204,204,91,15,100,29,Normal
205,205,91,15,100,29,Normal
206,206,91,15,100,29,Normal
207,207,91,15,100,29,Normal
208,208,89,15,100,29,Normal
209,209,91,15,100,29,Normal
210,210,91,15,100,29,Normal
211,211,91,15,100,36,Abnormal
212,212,91,15,100,36,Abnormal
213,213,91,15,100,37,Abnormal
214,214,90,15,100,37,Abnormal
215,215,90,15,100,36,Abnormal
216,216,90,15,100,36,Abnormal
217,217,90,15,100,29,Normal
218,218,91,15,100,29,Normal
219,219,91,15,100,36,Abnormal
220,220,91,15,100,36,Abnormal
221,221,91,15,100,29,Normal
222,222,91,15,100,29,Normal
223,223,92,15,100,36,Abnormal
224,224,92,15,100,36,Abnormal
225,225,92,15,100,36,Abnormal
226,226,92,15,100,36,Abnormal
227,227,92,15,100,36,Abnormal
228,228,92,15,100,36,Abnormal
229,229,93,15,100,29,Normal
230,230,93,15,100,29,Normal
231,231,93,15,100,36,Abnormal
232,232,94,15,100,36,Abnormal
233,233,93,15,100,36,Abnormal
234,234,92,15,100,36,Abnormal
235,235,92,15,100,29,Normal
236,236,92,15,100,29,Normal
237,237,92,15,100,29,Normal
238,238,92,15,100,29,Normal
239,239,91,15,100,37,Abnormal
240,240,91,15,100,37,Abnormal
241,241,91,15,100,36,Abnormal
242,242,91,15,100,36,Abnormal
243,243,91,15,100,29,Normal
244,244,91,15,100,29,Normal
245,245,90,15,100,36,Abnormal
246,246,90,15,100,36,Abnormal
247,247,90,15,100,29,Normal
248,248,90,15,100,29,Normal
249,249,90,15,100,29,Normal
250,250,90,15,100,29,Normal
251,251,89,15,100,29,Normal
252,252,89,15,100,29,Normal
253,253,89,15,100,29,Normal
254,254,89,15,100,29,Normal
255,255,89,15,100,29,Normal
256,256,89,15,100,29,Normal
257,257,89,15,100,29,Normal
258,258,90,15,100,29,Normal
259,259,90,15,100,29,Normal
260,260,90,15,100,29,Normal
261,261,91,15,100,30,Normal
262,262,91,15,100,30,Normal
263,263,91,15,100,29,Normal
264,264,92,15,100,29,Normal
265,265,92,15,100,30,Normal
266,266,92,15,100,30,Normal
267,267,92,15,100,29,Normal
268,268,92,15,100,29,Normal
269,269,92,15,100,29,Normal
270,270,92,15,100,29,Normal
271,271,92,15,100,29,Normal
272,272,92,15,100,29,Normal
273,273,92,15,100,30,Normal
274,274,92,15,100,30,Normal
275,275,92,15,100,30,Normal
276,276,92,15,100,30,Normal
277,277,92,15,100,29,Normal
278,278,91,15,100,29,Normal
279,279,91,15,100,30,Normal
280,280,90,15,100,30,Normal
281,281,90,15,100,37,Abnormal
282,282,90,15,100,37,Abnormal
283,283,90,15,100,30,Normal
284,284,89,15,100,30,Normal
285,285,89,15,100,37,Abnormal
286,286,89,15,100,37,Abnormal
287,287,89,15,100,29,Normal
288,288,89,15,100,29,Normal
289,289,88,15,100,29,Normal
290,290,88,15,100,29,Normal
291,291,88,15,100,37,Abnormal
292,292,88,15,100,37,Abnormal
293,293,87,15,100,29,Normal
294,294,87,15,100,29,Normal
295,295,87,15,100,29,Normal
296,296,87,15,100,29,Normal
297,297,87,15,100,37,Abnormal
298,298,87,15,100,37,Abnormal
299,299,87,15,100,29,Normal
300,300,88,15,100,29,Normal
301,301,88,15,100,29,Normal
302,302,88,15,100,29,Normal
303,303,88,15,100,29,Normal
304,304,88,15,100,29,Normal
305,305,88,15,100,37,Abnormal
306,306,89,15,100,37,Abnormal
307,307,89,15,100,29,Normal
308,308,89,15,100,29,Normal
309,309,89,15,100,37,Abnormal
310,310,90,15,100,37,Abnormal
311,311,90,15,100,29,Normal
312,312,90,15,100,29,Normal
313,313,90,15,100,30,Normal
314,314,90,15,100,30,Normal
315,315,91,15,100,37,Abnormal
316,316,91,15,100,37,Abnormal
317,317,91,15,100,29,Normal
318,318,91,15,100,29,Normal
319,319,92,16,100,29,Normal
320,320,92,16,100,29,Normal
321,321,92,16,100,37,Abnormal
322,322,92,16,100,37,Abnormal
323,323,92,16,100,29,Normal
324,324,93,18,100,29,Normal
325,325,93,18,100,37,Abnormal
326,326,93,18,100,37,Abnormal
327,327,93,18,100,29,Normal
328,328,93,18,100,29,Normal
329,329,92,18,100,30,Normal
330,330,92,18,100,30,Normal
331,331,92,19,100,29,Normal
332,332,92,19,100,29,Normal
333,333,92,19,100,29,Normal
334,334,92,19,100,29,Normal
335,335,92,18,100,29,Normal
336,336,93,18,100,29,Normal
337,337,93,18,100,29,Normal
338,338,93,19,100,29,Normal
339,339,93,19,100,37,Abnormal
340,340,93,19,100,37,Abnormal
341,341,93,19,100,29,Normal
342,342,92,18,100,29,Normal
343,343,92,18,100,30,Normal
344,344,92,18,100,30,Normal
345,345,92,18,100,29,Normal
346,346,92,18,100,29,Normal
347,347,92,18,100,38,Abnormal
348,348,91,18,100,38,Abnormal
349,349,91,18,100,30,Normal
350,350,91,17,100,30,Normal
351,351,91,17,100,29,Normal
