Time (s),SpO2 (%),Temp (C),Blood Flow (ml/s)
251.0,100.0,29.0,72.38
252.0,100.0,29.0,72.96
253.0,100.0,29.0,71.57
254.0,100.0,29.0,72.79
255.0,100.0,29.0,73.22
256.0,100.0,29.0,71.69
257.0,100.0,29.0,71.46
258.0,100.0,29.0,73.46
259.0,100.0,29.0,72.01
260.0,100.0,29.0,73.16
261.0,100.0,30.0,72.46
262.0,100.0,30.0,72.64
263.0,100.0,29.0,72.66
264.0,100.0,29.0,72.0
265.0,100.0,30.0,71.32
266.0,100.0,30.0,71.98
267.0,100.0,29.0,73.6
268.0,100.0,29.0,71.63
269.0,100.0,29.0,72.3
270.0,100.0,29.0,71.18
271.0,100.0,29.0,71.39
272.0,100.0,29.0,71.49
273.0,100.0,30.0,72.44
274.0,100.0,30.0,72.45
275.0,100.0,30.0,72.88
276.0,100.0,30.0,73.2
277.0,100.0,29.0,72.34
278.0,100.0,29.0,71.46
279.0,100.0,30.0,71.5
280.0,100.0,30.0,71.21
281.0,100.0,37.0,73.16
282.0,100.0,37.0,71.14
283.0,100.0,30.0,71.69
284.0,100.0,30.0,72.17
285.0,100.0,37.0,71.42
286.0,100.0,37.0,70.49
287.0,100.0,29.0,72.8
288.0,100.0,29.0,70.92
289.0,100.0,29.0,71.05
290.0,100.0,29.0,71.1
291.0,100.0,37.0,72.14
292.0,100.0,37.0,72.65
293.0,100.0,29.0,72.12
294.0,100.0,29.0,71.72
295.0,100.0,29.0,72.63
296.0,100.0,29.0,72.46
297.0,100.0,37.0,71.63
298.0,100.0,37.0,71.33
299.0,100.0,29.0,70.66
300.0,100.0,29.0,71.31
301.0,100.0,29.0,70.29
302.0,100.0,29.0,72.19
303.0,100.0,29.0,70.09
304.0,100.0,29.0,71.06
305.0,100.0,37.0,71.6
306.0,100.0,37.0,70.96
307.0,100.0,29.0,70.9
308.0,100.0,29.0,71.54
309.0,100.0,37.0,71.27
310.0,100.0,37.0,70.97
311.0,100.0,29.0,70.32
312.0,100.0,29.0,71.09
313.0,100.0,30.0,71.89
314.0,100.0,30.0,71.42
315.0,100.0,37.0,71.01
316.0,100.0,37.0,70.23
317.0,100.0,29.0,70.64
318.0,100.0,29.0,70.51
319.0,100.0,29.0,71.35
320.0,100.0,29.0,70.94
321.0,100.0,37.0,70.71
322.0,100.0,37.0,72.34
323.0,100.0,29.0,70.41
324.0,100.0,29.0,70.59
325.0,100.0,37.0,70.74
326.0,100.0,37.0,70.77
327.0,100.0,29.0,70.73
328.0,100.0,29.0,72.59
329.0,100.0,30.0,69.68
330.0,100.0,30.0,70.16
331.0,100.0,29.0,71.33
332.0,100.0,29.0,70.48
333.0,100.0,29.0,70.13
334.0,100.0,29.0,71.36
335.0,100.0,29.0,70.99
336.0,100.0,29.0,69.93
337.0,100.0,29.0,70.29
338.0,100.0,29.0,69.83
339.0,100.0,37.0,70.59
340.0,100.0,37.0,70.66
341.0,100.0,29.0,70.3
342.0,100.0,29.0,70.45
343.0,100.0,30.0,69.66
344.0,100.0,30.0,70.05
345.0,100.0,29.0,69.34
346.0,100.0,29.0,70.46
347.0,100.0,38.0,71.03
348.0,100.0,38.0,69.61
349.0,100.0,30.0,70.33
350.0,100.0,30.0,70.14
351.0,100.0,29.0,69.0
352.0,100.0,29.0,69.23
353.0,100.0,30.0,69.67
354.0,100.0,30.0,69.56
355.0,100.0,30.0,69.67
356.0,100.0,30.0,70.05
357.0,100.0,29.0,69.22
358.0,100.0,29.0,49.84
359.0,99.0,37.0,49.33
360.0,99.0,37.0,48.8
361.0,99.0,30.0,51.81
362.0,99.0,30.0,50.45
363.0,99.0,29.0,49.57
364.0,100.0,29.0,48.76
365.0,100.0,37.0,49.86
366.0,100.0,37.0,49.83
367.0,100.0,30.0,48.06
368.0,100.0,30.0,48.87
369.0,100.0,29.0,49.22
370.0,100.0,29.0,69.28
371.0,100.0,36.0,68.47
372.0,100.0,36.0,69.74
373.0,100.0,37.0,69.48
374.0,100.0,37.0,67.61
375.0,100.0,29.0,69.01
376.0,100.0,29.0,69.63
377.0,100.0,38.0,68.92
378.0,100.0,38.0,68.7
379.0,100.0,37.0,69.85
380.0,100.0,37.0,69.8
381.0,100.0,29.0,69.02
382.0,100.0,29.0,68.91
383.0,100.0,37.0,68.78
384.0,100.0,37.0,67.68
385.0,100.0,29.0,69.43
386.0,100.0,29.0,69.2
387.0,100.0,37.0,69.17
388.0,100.0,37.0,70.01
389.0,100.0,29.0,68.4
390.0,100.0,29.0,68.94
391.0,100.0,36.0,69.01
392.0,100.0,36.0,69.16
393.0,100.0,29.0,68.72
394.0,100.0,29.0,68.7
395.0,100.0,29.0,69.01
396.0,100.0,29.0,69.16
397.0,100.0,36.0,69.05
398.0,100.0,36.0,68.98
399.0,100.0,29.0,69.33
400.0,100.0,29.0,69.46
401.0,100.0,29.0,68.24
402.0,100.0,29.0,68.29
403.0,100.0,36.0,68.43
404.0,100.0,36.0,67.72
405.0,100.0,29.0,68.59
406.0,100.0,29.0,68.27
407.0,100.0,36.0,67.38
408.0,100.0,36.0,68.75
409.0,100.0,29.0,68.89
410.0,100.0,29.0,68.2
411.0,100.0,29.0,69.58
412.0,100.0,29.0,68.76
413.0,100.0,29.0,68.82
414.0,100.0,29.0,69.0
415.0,100.0,37.0,67.98
416.0,100.0,37.0,69.15
417.0,100.0,37.0,67.82
418.0,100.0,37.0,68.66
419.0,100.0,37.0,89.17
420.0,100.0,37.0,88.57
421.0,100.0,29.0,87.54
422.0,100.0,29.0,88.33
423.0,100.0,37.0,88.22
424.0,100.0,37.0,88.16
425.0,100.0,29.0,87.38
426.0,100.0,29.0,88.16
427.0,100.0,37.0,87.38
428.0,100.0,37.0,87.99
429.0,100.0,36.0,89.12
430.0,100.0,36.0,87.66
431.0,100.0,29.0,88.87
432.0,100.0,29.0,88.98
433.0,100.0,37.0,87.99
434.0,100.0,37.0,87.71
435.0,100.0,29.0,88.24
436.0,100.0,29.0,88.77
437.0,100.0,38.0,87.78
438.0,100.0,38.0,87.77
439.0,100.0,29.0,67.41
440.0,100.0,37.0,67.59
441.0,100.0,29.0,69.18
442.0,100.0,37.0,68.34
443.0,100.0,29.0,68.59
444.0,100.0,37.0,69.19
445.0,100.0,29.0,67.76
446.0,100.0,37.0,67.81
447.0,100.0,38.0,68.16
448.0,100.0,38.0,67.94
449.0,100.0,29.0,69.15
450.0,100.0,29.0,66.8
451.0,100.0,29.0,68.21
452.0,100.0,29.0,67.55
453.0,100.0,37.0,68.78
454.0,100.0,37.0,67.49
455.0,100.0,29.0,67.87
456.0,100.0,29.0,67.35
457.0,100.0,37.0,68.39
458.0,100.0,29.0,67.13
459.0,100.0,29.0,67.53
460.0,100.0,37.0,68.68
461.0,100.0,29.0,67.41
462.0,100.0,29.0,67.6
463.0,100.0,37.0,66.3
464.0,100.0,29.0,68.77
465.0,100.0,37.0,68.03
466.0,100.0,29.0,68.54
467.0,100.0,37.0,67.29
468.0,100.0,29.0,67.68
469.0,100.0,37.0,67.52
470.0,100.0,29.0,68.24
471.0,100.0,38.0,67.54
472.0,100.0,29.0,68.9
473.0,100.0,38.0,68.41
474.0,100.0,29.0,67.63
475.0,100.0,29.0,68.61
476.0,100.0,29.0,67.51
477.0,100.0,37.0,67.58
478.0,100.0,37.0,68.39
479.0,100.0,38.0,68.65
480.0,100.0,38.0,68.9
