Time (s),SpO2 (%),Temp (C),Blood Flow (ml/s)
130.0,96.0,29.0,52.62
131.0,96.0,29.0,53.04
132.0,96.0,37.0,51.66
133.0,96.0,37.0,53.54
134.0,96.0,30.0,53.2
135.0,96.0,30.0,51.81
136.0,96.0,38.0,52.69
137.0,96.0,38.0,54.13
138.0,96.0,29.0,53.22
139.0,97.0,29.0,52.03
140.0,97.0,31.0,74.22
141.0,97.0,31.0,73.84
142.0,97.0,37.0,73.15
143.0,97.0,37.0,74.51
144.0,97.0,29.0,74.89
145.0,97.0,29.0,72.54
146.0,96.0,29.0,73.48
147.0,96.0,29.0,73.35
148.0,96.0,38.0,74.25
149.0,96.0,38.0,73.41
150.0,96.0,29.0,73.0
151.0,96.0,29.0,72.33
152.0,96.0,29.0,74.91
153.0,96.0,29.0,73.27
154.0,96.0,37.0,72.57
155.0,96.0,37.0,74.48
156.0,96.0,29.0,73.3
157.0,96.0,29.0,73.7
158.0,96.0,38.0,74.38
159.0,96.0,38.0,74.37
160.0,96.0,29.0,73.67
161.0,96.0,29.0,74.31
162.0,96.0,29.0,73.63
163.0,96.0,29.0,74.24
164.0,96.0,29.0,73.89
165.0,96.0,29.0,75.04
166.0,96.0,29.0,74.78
167.0,96.0,29.0,73.46
168.0,96.0,37.0,73.98
169.0,96.0,37.0,73.98
170.0,96.0,29.0,72.92
171.0,96.0,29.0,74.01
172.0,96.0,37.0,73.15
173.0,96.0,37.0,74.32
174.0,96.0,29.0,74.34
175.0,96.0,29.0,73.76
176.0,96.0,37.0,75.12
177.0,96.0,37.0,73.96
178.0,96.0,29.0,75.11
179.0,96.0,29.0,74.07
180.0,96.0,29.0,73.73
181.0,96.0,29.0,75.51
182.0,96.0,37.0,74.46
183.0,96.0,37.0,75.29
184.0,96.0,29.0,74.11
185.0,96.0,29.0,74.1
186.0,96.0,37.0,74.1
187.0,96.0,37.0,73.16
188.0,96.0,29.0,72.39
189.0,96.0,29.0,73.7
190.0,96.0,29.0,73.99
191.0,96.0,29.0,72.49
192.0,96.0,37.0,73.29
193.0,96.0,37.0,73.78
194.0,96.0,29.0,74.09
195.0,96.0,29.0,73.84
196.0,96.0,37.0,73.85
197.0,96.0,37.0,73.15
198.0,96.0,29.0,73.41
199.0,96.0,29.0,102.27
200.0,96.0,29.0,73.4
201.0,96.0,29.0,72.69
202.0,96.0,29.0,73.6
203.0,96.0,29.0,73.74
204.0,96.0,38.0,73.4
205.0,96.0,38.0,73.58
206.0,96.0,38.0,74.29
207.0,96.0,38.0,73.54
208.0,96.0,29.0,72.71
209.0,96.0,29.0,74.65
210.0,96.0,37.0,72.96
211.0,96.0,37.0,73.08
212.0,96.0,37.0,74.27
213.0,96.0,37.0,73.97
214.0,96.0,37.0,73.4
215.0,96.0,37.0,73.46
216.0,96.0,29.0,73.83
217.0,96.0,29.0,73.36
218.0,96.0,29.0,72.96
219.0,96.0,29.0,73.32
220.0,96.0,37.0,74.33
221.0,96.0,37.0,73.74
222.0,96.0,37.0,74.57
223.0,96.0,37.0,72.94
224.0,96.0,29.0,72.75
225.0,96.0,29.0,73.68
226.0,96.0,29.0,72.94
227.0,96.0,29.0,73.61
228.0,96.0,29.0,73.7
229.0,96.0,29.0,73.1
230.0,96.0,29.0,73.55
231.0,96.0,29.0,74.23
232.0,96.0,37.0,71.7
233.0,96.0,37.0,73.77
234.0,96.0,29.0,72.61
235.0,96.0,29.0,73.34
236.0,96.0,37.0,72.79
237.0,96.0,37.0,73.03
238.0,86.0,nan,72.69
239.0,87.0,nan,72.66
240.0,88.0,37.0,72.94
241.0,87.0,37.0,74.32
242.0,87.0,37.0,72.74
243.0,90.0,37.0,72.28
244.0,88.0,36.0,72.03
245.0,85.0,36.0,72.68
246.0,86.0,29.0,72.83
247.0,85.0,29.0,72.63
248.0,96.0,37.0,72.78
249.0,96.0,37.0,72.85
250.0,96.0,36.0,72.91
251.0,96.0,36.0,73.27
252.0,96.0,37.0,72.99
253.0,96.0,37.0,72.43
254.0,96.0,37.0,73.74
255.0,96.0,37.0,72.48
256.0,96.0,29.0,72.27
257.0,96.0,29.0,71.42
258.0,96.0,37.0,72.73
259.0,96.0,37.0,72.7
260.0,96.0,29.0,73.02
261.0,96.0,29.0,72.48
262.0,96.0,36.0,71.61
263.0,96.0,36.0,71.57
264.0,96.0,29.0,72.33
265.0,96.0,29.0,73.41
266.0,96.0,29.0,72.16
267.0,96.0,29.0,72.5
268.0,96.0,29.0,71.66
269.0,96.0,29.0,71.16
270.0,96.0,29.0,72.99
271.0,96.0,29.0,71.81
272.0,96.0,37.0,71.73
273.0,96.0,37.0,71.65
274.0,96.0,29.0,71.13
275.0,96.0,29.0,72.99
276.0,96.0,36.0,71.14
277.0,96.0,36.0,71.98
278.0,96.0,36.0,72.75
279.0,96.0,36.0,71.75
280.0,96.0,36.0,72.14
281.0,96.0,36.0,71.13
282.0,96.0,29.0,72.31
283.0,96.0,29.0,72.45
284.0,96.0,36.0,72.25
285.0,96.0,36.0,71.43
286.0,96.0,29.0,71.52
287.0,96.0,29.0,71.42
288.0,96.0,29.0,72.14
289.0,96.0,29.0,72.5
290.0,96.0,29.0,72.02
291.0,96.0,29.0,71.75
292.0,96.0,36.0,71.1
293.0,96.0,36.0,71.61
294.0,96.0,29.0,72.66
295.0,96.0,29.0,71.74
296.0,96.0,36.0,70.91
297.0,96.0,36.0,71.09
298.0,96.0,29.0,71.21
299.0,96.0,29.0,69.75
300.0,96.0,35.0,70.87
301.0,96.0,35.0,70.97
302.0,96.0,34.0,71.54
303.0,96.0,34.0,72.53
304.0,96.0,29.0,70.57
305.0,96.0,29.0,71.56
306.0,96.0,34.0,70.56
307.0,96.0,34.0,70.59
308.0,96.0,29.0,71.61
309.0,96.0,29.0,70.51
310.0,95.0,33.0,72.15
311.0,95.0,33.0,71.43
312.0,95.0,29.0,70.35
313.0,95.0,29.0,70.75
314.0,95.0,32.0,71.38
315.0,95.0,32.0,70.11
316.0,95.0,29.0,70.66
317.0,95.0,29.0,71.85
318.0,95.0,31.0,71.02
319.0,95.0,31.0,70.48
320.0,95.0,29.0,71.14
321.0,95.0,29.0,71.21
322.0,95.0,30.0,70.76
323.0,95.0,30.0,70.72
324.0,95.0,29.0,69.31
325.0,95.0,29.0,70.3
326.0,95.0,30.0,69.57
327.0,95.0,30.0,70.17
328.0,95.0,29.0,70.75
329.0,95.0,29.0,69.24
330.0,95.0,28.0,69.72
331.0,95.0,28.0,70.68
332.0,95.0,29.0,69.29
333.0,95.0,29.0,70.53
334.0,95.0,27.0,71.47
335.0,95.0,27.0,70.87
336.0,95.0,29.0,69.27
337.0,95.0,29.0,71.38
338.0,95.0,nan,69.7
339.0,95.0,nan,69.95
340.0,95.0,nan,71.49
341.0,95.0,nan,69.41
342.0,95.0,nan,70.63
343.0,95.0,nan,69.68
344.0,95.0,nan,70.2
345.0,95.0,nan,69.33
346.0,95.0,nan,70.89
347.0,95.0,nan,70.44
348.0,95.0,nan,70.55
349.0,95.0,nan,69.92
350.0,95.0,nan,70.35
351.0,95.0,nan,69.88
352.0,95.0,nan,69.05
353.0,95.0,29.0,68.95
354.0,95.0,29.0,71.11
355.0,95.0,29.0,68.4
356.0,95.0,29.0,69.25
357.0,95.0,29.0,69.28
358.0,95.0,29.0,69.34
359.0,95.0,29.0,68.88
360.0,95.0,30.0,69.19
361.0,95.0,30.0,69.16
362.0,95.0,29.0,69.44
363.0,95.0,29.0,69.49
364.0,95.0,29.0,69.49
365.0,95.0,29.0,68.7
366.0,95.0,29.0,69.33
367.0,95.0,29.0,69.12
368.0,95.0,29.0,69.21
369.0,95.0,29.0,70.34
370.0,95.0,29.0,68.57
371.0,95.0,29.0,68.38
372.0,95.0,29.0,68.67
373.0,95.0,29.0,69.67
374.0,95.0,29.0,70.1
375.0,95.0,29.0,70.47
376.0,95.0,29.0,70.45
377.0,95.0,29.0,69.03
378.0,95.0,29.0,94.54
379.0,95.0,29.0,94.12
380.0,95.0,29.0,94.65
381.0,95.0,29.0,93.4
382.0,95.0,30.0,93.48
383.0,95.0,30.0,92.87
384.0,95.0,30.0,93.59
385.0,95.0,29.0,92.2
386.0,95.0,29.0,93.79
387.0,95.0,30.0,94.94
388.0,95.0,29.0,93.69
389.0,95.0,29.0,92.29
390.0,95.0,30.0,95.11
391.0,95.0,30.0,94.19
392.0,95.0,29.0,93.78
393.0,95.0,29.0,94.46
394.0,95.0,30.0,93.35
395.0,95.0,30.0,94.25
396.0,95.0,29.0,94.23
397.0,95.0,29.0,93.37
398.0,95.0,29.0,93.33
399.0,95.0,29.0,94.5
400.0,95.0,29.0,95.04
401.0,95.0,29.0,92.64
402.0,95.0,29.0,94.63
403.0,95.0,30.0,93.88
404.0,95.0,29.0,93.51
405.0,95.0,30.0,67.83
406.0,95.0,29.0,68.14
407.0,95.0,30.0,68.19
408.0,95.0,29.0,68.84
409.0,95.0,30.0,66.75
410.0,95.0,29.0,68.31
411.0,95.0,30.0,69.47
412.0,95.0,30.0,69.09
413.0,95.0,29.0,68.19
414.0,95.0,29.0,68.53
415.0,95.0,29.0,67.73
416.0,97.0,36.2,68.7
417.0,97.0,36.2,68.73
418.0,93.0,38.0,67.34
419.0,100.0,35.0,67.7
420.0,95.0,37.0,68.69
421.0,95.0,29.0,68.34
422.0,95.0,29.0,68.24
423.0,95.0,29.0,68.03
424.0,95.0,29.0,67.52
425.0,95.0,29.0,67.53
426.0,97.0,36.2,69.55
427.0,97.0,36.2,68.39
428.0,93.0,38.0,69.37
429.0,100.0,35.0,68.79
430.0,95.0,37.0,68.35
431.0,95.0,29.0,67.0
432.0,97.0,36.2,68.26
433.0,97.0,36.2,68.15
434.0,93.0,38.0,67.91
435.0,100.0,35.0,68.55
436.0,95.0,37.0,68.06
437.0,95.0,29.0,68.35
438.0,95.0,29.0,68.0
439.0,95.0,29.0,68.57
440.0,95.0,29.0,68.69
441.0,95.0,29.0,67.94
442.0,95.0,29.0,68.6
443.0,95.0,29.0,67.64
444.0,95.0,30.0,68.08
445.0,95.0,30.0,67.03
446.0,95.0,29.0,67.92
447.0,95.0,29.0,69.02
448.0,95.0,29.0,68.45
449.0,95.0,29.0,68.57
450.0,95.0,29.0,68.96
451.0,95.0,29.0,69.11
452.0,95.0,29.0,67.81
453.0,95.0,29.0,68.29
454.0,95.0,29.0,68.72
455.0,95.0,29.0,67.67
456.0,95.0,29.0,68.42
457.0,95.0,29.0,68.35
458.0,95.0,30.0,68.08
459.0,95.0,30.0,67.58
460.0,95.0,31.0,68.38
461.0,95.0,31.0,68.24
462.0,95.0,29.0,68.6
463.0,95.0,29.0,67.58
464.0,95.0,29.0,68.17
465.0,95.0,29.0,67.75
466.0,95.0,29.0,67.33
467.0,95.0,29.0,68.17
468.0,95.0,29.0,67.92
469.0,95.0,29.0,67.89
470.0,95.0,29.0,68.15
471.0,95.0,29.0,67.64
472.0,95.0,29.0,68.79
473.0,95.0,29.0,68.96
474.0,96.0,29.0,67.85
475.0,96.0,29.0,67.37
476.0,96.0,30.0,69.38
477.0,96.0,30.0,67.46
478.0,96.0,31.0,68.14
479.0,96.0,31.0,68.21
480.0,96.0,29.0,68.5
